ID	CITY	STATE	LAT_N	LONG_W
1	New York	NY	45.13138	-114.111936
2	Los Angeles	OH	23.730202	-99.466653
3	Chicago	GA	28.138463	-88.414081
4	Houston	NY	61.340207	-129.917167
5	Phoenix	GA	55.371314	-97.300239
6	Philadelphia	MI	72.787795	-126.760883
7	San Antonio	FL	37.321656	-123.380982
8	San Diego	PA	28.931439	-105.952722
9	Dallas	NY	53.299073	-85.00395
10	San Jose	FL	57.84595	-116.065162
11	Austin	CA	43.615139	-111.752101
12	Jacksonville	MI	70.52167	-78.147411
13	Fort Worth	TX	73.387809	-88.57438
14	Columbus	NY	60.231749	-82.484441
15	Charlotte	PA	33.057471	-85.733275
16	San Francisco	MI	70.826011	-116.643471
17	Indianapolis	TX	48.800263	-91.737265
18	Seattle	NC	68.747976	-87.310897
19	Denver	OH	28.924023	-97.291058
20	Washington	OH	68.754137	-126.197353
21	Boston	MI	74.457661	-123.424782
22	El Paso	FL	71.480313	-93.894769
23	Nashville	MI	33.242218	-123.482414
24	Detroit	NC	63.515724	-71.101489
25	Oklahoma City	MI	61.763828	-122.755051
26	Las Vegas	GA	61.169773	-128.9547
27	Portland	OH	61.358912	-99.867495
28	Memphis	OH	41.714892	-101.982034
29	Louisville	CA	51.578985	-123.848091
30	Baltimore	OH	75.700666	-74.192695
31	New York	TX	30.074389	-105.6659
32	Los Angeles	IL	35.450831	-96.356752
33	Chicago	NY	47.75298	-109.378252
34	Houston	NY	66.29226	-75.386414
35	Phoenix	CA	63.28308	-121.767658
36	Philadelphia	MI	60.421294	-129.044005
37	San Antonio	IL	31.194107	-74.48318
38	San Diego	CA	57.455535	-92.402419
39	Dallas	IL	76.251571	-95.305365
40	San Jose	TX	22.402871	-122.750895
41	Austin	NC	34.918125	-114.719978
42	Jacksonville	NY	60.35678	-84.661079
43	Fort Worth	OH	27.165864	-87.307673
44	Columbus	CA	40.820855	-89.093502
45	Charlotte	NY	67.238169	-88.442725
46	San Francisco	PA	68.613792	-102.422812
47	Indianapolis	MI	66.39224	-89.647612
48	Seattle	GA	77.586943	-70.426437
49	Denver	OH	54.763215	-97.445631
50	Washington	NC	59.438491	-93.504924
51	Boston	NC	79.866732	-115.640386
52	El Paso	IL	23.802719	-102.281648
53	Nashville	TX	44.477355	-110.404116
54	Detroit	GA	79.839256	-85.992584
55	Oklahoma City	IL	40.163908	-127.527093
56	Las Vegas	MI	70.480528	-106.002418
57	Portland	IL	48.682459	-89.022059
58	Memphis	IL	64.16989	-87.447793
59	Louisville	NC	34.400117	-95.927399
60	Baltimore	PA	71.622461	-107.386638
61	New York	TX	34.88445	-115.983007
62	Los Angeles	MI	34.64509	-77.471609
63	Chicago	FL	48.448705	-100.092306
64	Houston	OH	75.187843	-97.534133
65	Phoenix	MI	59.752337	-114.212152
66	Philadelphia	PA	70.183273	-95.115031
67	San Antonio	OH	70.132097	-120.696621
68	San Diego	FL	42.636856	-116.887932
69	Dallas	OH	74.828196	-120.714559
70	San Jose	NY	20.197099	-129.925437
71	Austin	IL	34.82958	-85.019953
72	Jacksonville	IL	27.281425	-84.824531
73	Fort Worth	TX	25.039894	-120.848784
74	Columbus	IL	65.763364	-79.621746
75	Charlotte	TX	30.468676	-113.556758
76	San Francisco	OH	65.358479	-95.235177
77	Indianapolis	MI	44.231833	-85.007936
78	Seattle	MI	22.811974	-98.977853
79	Denver	NC	64.912362	-93.318468
80	Washington	MI	21.863039	-84.295905
81	Boston	PA	75.140539	-82.413895
82	El Paso	OH	57.803038	-89.475881
83	Nashville	OH	76.86675	-70.492541
84	Detroit	OH	70.189335	-122.468922
85	Oklahoma City	NC	34.496348	-112.759737
86	Las Vegas	PA	58.766218	-95.899861
87	Portland	MI	60.934942	-114.648067
88	Memphis	FL	67.993551	-87.82039
89	Louisville	CA	41.789355	-119.16286
90	Baltimore	OH	76.399113	-90.708123
91	New York	IL	55.513838	-73.485298
92	Los Angeles	IL	59.157739	-98.274212
93	Chicago	FL	26.976266	-107.845451
94	Houston	MI	38.809755	-82.822728
95	Phoenix	CA	76.826921	-91.625833
96	Philadelphia	MI	20.978568	-114.18557
97	San Antonio	MI	39.303835	-104.158673
98	San Diego	TX	62.408502	-85.912716
99	Dallas	IL	65.606474	-127.139795
100	San Jose	TX	50.906929	-118.870714
101	Austin	NC	36.187186	-126.723871
102	Jacksonville	OH	53.944729	-83.017574
103	Fort Worth	PA	68.869869	-92.664105
104	Columbus	NY	59.324511	-80.244488
105	Charlotte	PA	63.252698	-88.940379
106	San Francisco	PA	35.976367	-115.949496
107	Indianapolis	GA	59.799167	-71.620344
108	Seattle	IL	58.391677	-128.4651
109	Denver	CA	30.693319	-93.547822
110	Washington	OH	79.007459	-103.554509
111	Boston	MI	35.18212	-104.369929
112	El Paso	GA	40.218781	-105.297419
113	Nashville	GA	41.878468	-81.838624
114	Detroit	OH	24.96019	-83.582901
115	Oklahoma City	IL	29.034805	-86.276749
116	Las Vegas	NC	71.576354	-70.155803
117	Portland	OH	56.515059	-120.926487
118	Memphis	IL	76.504674	-94.467229
119	Louisville	PA	76.681663	-112.562179
120	Baltimore	PA	62.799312	-84.414164
121	New York	GA	39.745665	-79.030475
122	Los Angeles	OH	43.046619	-90.336357
123	Chicago	FL	64.161541	-105.901581
124	Houston	TX	21.444129	-75.268815
125	Phoenix	MI	64.215404	-116.858155
126	Philadelphia	CA	63.832594	-88.85939
127	San Antonio	NC	49.460763	-91.563817
128	San Diego	PA	60.443891	-89.325077
129	Dallas	GA	34.580618	-129.379367
130	San Jose	MI	34.724843	-127.884329
131	Austin	NY	25.520751	-117.87742
132	Jacksonville	NC	57.711217	-72.316897
133	Fort Worth	NY	26.499438	-78.684111
134	Columbus	GA	41.871152	-112.834694
135	Charlotte	NC	44.271511	-79.668154
136	San Francisco	NY	49.0845	-109.667966
137	Indianapolis	NY	29.001526	-73.82274
138	Seattle	TX	35.444875	-90.47773
139	Denver	NY	67.527427	-113.97626
140	Washington	OH	68.381009	-107.840177
141	Boston	MI	35.072706	-122.751508
142	El Paso	MI	66.321822	-102.36651
143	Nashville	CA	55.876576	-81.776542
